Metric,ForecastCF (N-BEATS),Ours (iTransformer),Ours (DLinear),Ours (GRU),Ours (TimesNet)
Validity Ratio ↑,0.5033333333333334,0.9833333333333333,0.9489583333333333,0.8333333333333334,0.5489583333333333
Step AUC ↑,0.021249999999999995,0.9875,0.9541666666666666,0.8385416666666667,0.559375
Proximity L2 ↓,0.13440404671309156,0.8296332359313965,0.7669805288314819,1.0502275228500366,0.7308431267738342
Compactness ↑,0.8943749999999998,0.6807291666666667,0.678125,0.6786458333333333,0.678125
Roughness Ratio ↓,,0.9838493620343036,0.9621442607290658,0.9698744036522562,0.9290536355961782
Temporal Consistency ↑,,0.9334277629852294,0.9307654172182083,0.9301951318979264,0.9399899423122406
Plausibility ↓,,0.5149869252209764,0.4541019560531659,0.5657208674017036,0.4386072957933126
